Tick PD1 PD2 PD3
1328 000 097 000
1329 000 109 000
1330 000 122 000
1331 001 134 000
1332 003 146 000
1333 005 156 000
1334 009 166 000
1335 014 174 000
1336 020 181 000
1337 027 187 000
1338 034 193 000
1339 041 196 000
1340 049 196 000
1341 056 196 000
1342 064 196 000
1343 072 196 000
1344 081 196 000
1345 088 196 000
1346 094 196 000
1347 099 196 000
1348 104 196 000
1349 109 196 000
1350 112 196 000
1351 114 196 000
1352 115 196 000
1353 115 196 000
1354 113 196 000
1355 110 196 000
1356 104 196 000
1357 096 196 000
1358 084 196 000
1359 070 196 000
1360 054 196 000
1361 039 195 000
1362 026 195 000
1363 016 196 000
1364 010 195 000
1365 006 195 000
1366 005 195 000
1367 007 195 000
1368 011 196 000
1369 017 195 000
1370 024 196 000
1371 033 195 000
1372 045 196 000
1373 058 196 000
1374 075 196 000
1375 095 196 000
1376 114 196 000
1377 133 196 000
1378 151 196 001
1379 168 196 002
1380 183 196 004
1381 195 196 006
1382 195 196 009
1383 195 196 013
1384 195 196 018
1385 195 196 024
1386 195 193 030
1387 195 186 037
1388 195 177 045
1389 195 168 053
1390 195 158 061
1391 195 147 070
1392 195 135 080
1393 195 123 090
1394 195 109 099
1395 195 096 110
1396 195 082 120
1397 195 069 131
1398 186 057 141
1399 175 046 151
1400 165 036 160
1401 154 027 168
1402 145 020 176
1403 137 014 182
1404 131 009 188
1405 126 006 193
1406 123 004 195
1407 122 002 195
1408 121 001 195
1409 120 000 195
1410 120 000 195
1411 120 000 195
1412 120 000 195
1413 121 000 195
1414 124 000 195
1415 128 000 195
1416 133 000 195
1417 141 000 195
1418 150 000 195
1419 162 000 195
1420 175 000 195
1421 188 000 195
1422 196 000 195
1423 196 000 195
1424 196 000 195
1425 196 000 195
1426 196 000 195
1427 196 000 195
1428 196 000 195
1429 196 000 195
1430 196 000 195
1431 196 000 195
1432 196 000 195
1433 196 000 195
1434 196 000 195
1435 192 000 195
1436 173 000 195
1437 150 000 195
1438 125 000 195
1439 100 000 195
1440 077 000 195
1441 057 000 195
1442 039 000 195
1443 026 000 195
1444 018 000 195
1445 012 000 195
1446 007 000 195
1447 005 000 195
1448 004 000 195
1449 004 000 195
1450 005 000 195
1451 008 000 195
1452 014 000 195
1453 021 000 195
1454 030 000 195
1455 040 000 195
1456 052 000 195
1457 065 000 195
1458 078 000 195
1459 090 000 195
1460 099 000 195
1461 106 000 195
1462 112 000 195
1463 116 000 195
1464 119 000 195
1465 120 000 195
1466 120 000 195
1467 119 000 195
1468 117 000 195
1469 114 000 195
1470 110 000 195
1471 104 000 195
1472 096 000 195
1473 087 000 195
1474 076 000 195
1475 065 000 195
1476 053 000 195
1477 041 000 195
1478 031 000 195
1479 022 000 195
1480 015 000 195
1481 010 000 195
1482 005 000 195
1483 003 000 195
1484 002 000 195
1485 001 000 195
