Tick PD1 PD2 PD3
1092 197 191 197
1093 197 183 197
1094 197 173 197
1095 197 161 197
1096 197 147 197
1097 197 130 197
1098 197 113 196
1099 197 096 196
1100 197 078 180
1101 197 063 159
1102 197 049 136
1103 195 037 112
1104 189 027 089
1105 182 019 069
1106 174 012 050
1107 164 008 035
1108 153 005 023
1109 140 003 015
1110 127 001 009
1111 113 000 006
1112 099 000 004
1113 086 000 003
1114 073 000 003
1115 061 000 005
1116 050 000 010
1117 040 000 017
1118 032 000 026
1119 025 000 039
1120 019 000 054
1121 014 000 069
1122 010 000 084
1123 008 000 097
1124 006 000 106
1125 005 000 112
1126 003 000 116
1127 003 000 118
1128 002 000 119
1129 001 000 118
1130 001 000 116
1131 000 000 113
1132 000 000 108
1133 000 000 101
1134 000 000 092
1135 000 000 082
1136 000 000 070
1137 000 000 057
1138 000 000 045
1139 000 000 034
1140 000 000 024
1141 000 000 017
1142 000 000 011
1143 000 000 006
1144 000 000 003
1145 000 000 002
1146 000 000 001
1147 000 000 000
1148 000 000 000
1149 000 000 000
1150 000 000 001
1151 000 000 003
1152 000 000 008
1153 000 000 015
1154 000 000 026
1155 000 000 040
1156 000 000 059
1157 000 000 082
1158 000 000 107
1159 000 000 130
1160 000 000 150
1161 000 000 168
1162 000 000 183
1163 000 000 196
1164 000 000 196
1165 000 000 196
1166 000 000 196
1167 000 000 196
1168 000 000 196
1169 000 000 193
1170 000 000 181
1171 000 000 169
1172 000 000 156
1173 000 000 146
1174 000 000 136
1175 000 000 129
1176 000 000 123
1177 000 000 120
1178 000 000 118
1179 000 000 117
1180 000 000 116
1181 000 000 115
1182 000 000 115
1183 000 000 115
1184 000 000 115
1185 000 000 116
1186 000 000 117
1187 000 000 119
1188 000 000 123
1189 000 000 128
1190 000 000 135
1191 000 000 144
1192 000 000 154
1193 000 000 166
1194 000 000 179
1195 000 000 192
1196 000 000 195
1197 000 000 196
1198 000 000 196
1199 000 000 196
1200 000 000 196
1201 000 000 196
1202 000 000 196
1203 000 000 196
1204 000 000 196
1205 000 000 196
1206 000 000 196
1207 000 000 188
1208 000 000 175
1209 000 000 161
1210 000 000 149
1211 000 000 138
1212 000 000 129
1213 000 000 122
1214 000 000 117
1215 000 000 113
1216 000 000 111
1217 000 000 110
1218 000 000 109
1219 000 000 109
1220 000 000 108
1221 000 000 109
1222 000 000 109
1223 000 000 110
1224 000 000 112
1225 000 000 116
1226 000 000 121
1227 000 000 127
1228 000 000 134
1229 000 000 144
1230 000 000 155
1231 000 000 168
1232 000 000 181
1233 000 000 193
1234 000 000 196
1235 000 000 196
1236 000 000 196
1237 000 000 196
1238 000 000 196
1239 000 000 196
1240 000 000 196
1241 000 000 196
1242 000 000 196
1243 000 000 196
1244 000 000 186
1245 000 000 172
1246 000 000 157
1247 000 000 144
1248 000 000 133
1249 000 000 125
1250 000 000 119
1251 000 000 115
1252 000 000 113
1253 000 000 112
1254 000 000 112
1255 000 000 111
1256 000 000 112
1257 000 000 112
1258 000 000 113
1259 000 000 114
1260 000 000 116
1261 000 000 121
1262 000 000 127
1263 000 000 135
1264 000 000 146
1265 000 000 157
1266 000 000 169
1267 000 000 182
1268 000 000 194
1269 000 000 196
1270 000 000 196
1271 000 000 196
1272 000 000 196
1273 000 000 196
1274 000 000 196
1275 000 000 196
1276 000 000 196
1277 000 000 196
1278 000 000 195
1279 000 000 182
1280 000 000 163
1281 000 000 140
1282 000 000 116
1283 000 000 092
1284 000 000 070
1285 000 000 051
1286 000 000 036
1287 000 000 024
1288 000 000 015
1289 000 000 010
1290 000 000 007
1291 000 000 005
1292 000 000 003
1293 000 000 003
1294 000 000 002
1295 000 000 003
1296 000 000 004
1297 000 000 006
1298 000 000 011
1299 000 000 018
1300 000 000 028
1301 000 000 041
1302 000 000 056
1303 000 000 071
1304 000 000 085
1305 000 000 097
1306 000 000 105
1307 000 000 111
1308 000 000 114
1309 000 001 115
1310 000 004 114
1311 000 007 111
1312 000 011 107
1313 000 018 100
1314 000 027 091
1315 000 038 079
1316 000 051 065
1317 000 065 051
1318 000 080 038
1319 000 093 027
1320 000 107 019
1321 000 120 013
1322 000 134 008
1323 000 148 005
1324 000 160 003
1325 000 171 002
1326 000 180 001
1327 000 187 001
1328 000 192 001
1329 000 195 001
1330 000 196 002
1331 000 196 003
1332 000 196 005
1333 000 196 008
1334 000 196 014
1335 000 196 022
1336 000 196 033
1337 000 196 046
1338 000 196 060
1339 000 196 073
1340 000 196 086
1341 000 196 097
1342 000 196 105
1343 000 196 111
1344 000 196 114
1345 000 196 115
1346 000 196 115
1347 000 196 112
1348 000 196 107
1349 000 196 101
1350 000 196 092
1351 000 196 080
1352 000 196 066
1353 000 196 052
1354 000 196 038
1355 000 196 026
1356 000 196 018
1357 000 196 011
1358 001 196 006
1359 001 196 004
1360 002 196 002
1361 003 196 002
1362 005 196 001
1363 008 196 001
1364 012 196 002
1365 016 196 002
1366 021 196 004
1367 027 196 007
1368 033 196 011
1369 040 197 017
1370 047 196 024
1371 055 197 033
1372 064 197 043
1373 073 197 053
1374 083 197 064
1375 093 197 074
1376 103 197 083
1377 114 197 091
1378 125 197 099
1379 136 197 105
1380 147 197 110
1381 157 197 114
1382 166 197 117
1383 174 197 118
1384 182 197 117
1385 189 197 115
1386 194 197 111
1387 196 197 105
1388 196 197 096
1389 196 197 084
1390 196 196 070
1391 196 196 055
1392 196 196 041
1393 196 196 029
1394 196 196 020
1395 196 196 014
1396 196 196 010
1397 196 196 011
1398 196 196 014
1399 196 196 020
1400 196 196 027
1401 196 196 035
1402 196 196 044
1403 196 196 054
1404 196 196 064
1405 196 196 075
1406 196 196 088
1407 196 196 102
1408 196 196 117
1409 196 196 130
1410 197 196 143
1411 197 196 156
1412 197 196 167
1413 197 196 177
1414 197 196 187
1415 197 196 196
1416 197 196 197
1417 197 196 197
1418 197 196 197
1419 197 196 197
1420 197 196 197
1421 197 196 197
1422 197 196 197
1423 197 196 197
1424 190 196 197
1425 182 196 197
1426 171 196 197
1427 159 196 184
1428 146 196 170
1429 131 196 154
1430 117 196 139
1431 103 196 127
1432 089 196 118
1433 076 196 112
1434 064 197 109
1435 052 196 107
1436 042 196 106
1437 034 197 106
1438 027 196 106
1439 022 196 106
1440 017 196 106
1441 013 196 107
1442 010 196 110
1443 008 196 115
1444 007 196 120
1445 005 196 127
1446 005 196 135
1447 004 196 144
1448 004 196 153
1449 003 196 162
1450 003 196 172
1451 002 196 181
1452 002 196 189
1453 002 196 196
1454 001 196 197
1455 001 196 197
1456 001 196 197
1457 001 196 197
1458 001 196 197
1459 001 196 197
1460 001 196 197
1461 001 196 197
1462 000 196 197
1463 000 196 197
1464 001 196 191
1465 001 196 179
1466 001 196 165
1467 001 196 150
1468 001 196 136
1469 002 196 125
1470 002 196 116
1471 002 196 109
1472 003 196 104
1473 005 196 101
1474 007 196 100
1475 010 196 099
1476 014 196 099
1477 020 196 099
1478 026 196 099
1479 032 196 100
1480 040 196 102
1481 047 196 105
1482 056 197 110
1483 065 196 117
1484 074 196 125
1485 084 197 134
1486 095 196 144
1487 105 196 154
1488 115 195 163
1489 126 192 173
1490 136 189 182
1491 146 185 191
1492 156 179 197
1493 166 172 197
1494 174 162 197
1495 181 150 197
1496 188 136 197
1497 194 120 196
1498 196 104 196
1499 197 087 196
1500 197 070 196
1501 197 056 196
1502 197 043 192
1503 197 032 181
1504 197 022 170
1505 197 015 157
1506 197 009 144
1507 197 005 132
1508 197 002 122
1509 196 001 114
1510 196 000 107
1511 196 000 103
1512 196 000 101
1513 196 000 099
1514 196 000 099
1515 196 000 098
1516 196 000 098
1517 196 000 098
1518 196 000 099
1519 196 000 100
1520 196 000 101
1521 196 000 104
1522 196 000 109
1523 196 000 114
1524 196 000 121
1525 196 000 129
1526 197 000 138
1527 197 000 148
1528 197 000 159
1529 197 000 169
1530 197 000 179
1531 197 000 188
1532 197 000 196
1533 197 000 196
1534 197 000 196
1535 197 000 196
1536 197 000 196
1537 195 000 196
1538 188 000 196
1539 179 000 196
1540 168 000 196
1541 156 000 196
1542 143 000 196
1543 130 000 189
1544 116 000 177
1545 103 000 164
1546 090 000 150
1547 077 000 138
1548 066 000 126
1549 055 000 117
1550 045 000 111
1551 037 000 105
1552 030 000 102
1553 025 000 100
1554 020 000 099
1555 016 000 098
1556 012 000 098
1557 010 000 098
1558 008 000 099
1559 006 000 099
1560 005 000 101
1561 005 000 103
1562 004 000 107
1563 003 000 111
1564 003 000 117
1565 002 000 124
1566 002 000 131
1567 002 000 139
1568 002 000 148
1569 001 000 157
1570 001 000 165
1571 001 000 173
1572 001 000 182
1573 001 000 190
1574 001 000 196
1575 001 000 196
1576 001 000 196
1577 001 000 196
1578 001 000 196
